timestamp,high,low,open,volumeFrom,volumeTo,close
1487289600,1000.86,974.33,979.32,8850.15,8769798.58,993
1487376000,1005.7,989.61,993,6976.37,6977658.5,998.12
1487462400,1000.47,979.26,998.12,4571.38,4530515.91,991.58
1487548800,1025.06,985.82,991.58,8459.24,8484079.92,1019.55
1487635200,1065.09,1015.47,1019.55,15369.54,16032672.7,1063.66
1487721600,1074.77,1046.71,1063.66,10775.03,11411460.28,1065.55
1487808000,1124.42,1062.69,1065.55,14294.88,15596878.95,1113.34
1487894400,1147.65,1061.74,1113.34,23348.26,25958723.09,1119.65
1487980800,1123.22,1071.54,1119.65,10874.13,11919386.9,1090.37
1488067200,1119.26,1072.86,1090.37,7744.11,8530495.49,1110.13
1488153600,1127.46,1104.53,1110.13,7910.14,8845439.3,1124.17
1488240000,1135.33,1111,1124.17,10064.68,11286922.06,1119.77
1488326400,1165.39,1116.33,1119.77,11202.51,12820836.76,1156.18
1488412800,1203.88,1142.02,1156.18,14206.17,16747093.4,1193.46
1488499200,1226.39,1182.7,1193.46,14655.05,17680913.96,1210.2
1488585600,1212.06,1158.46,1210.2,9404.72,11169788.44,1189.72
1488672000,1198.89,1169.3,1189.72,5180.03,6144800.08,1192.98
1488758400,1214.6,1185.21,1192.98,7115.43,8552410.37,1209.1
1488844800,1210.94,1128.18,1209.1,19859.77,23254755.76,1167.45
1488931200,1176.1,1069.41,1167.45,25611.83,28741927.08,1073.95
1489017600,1139.75,1066.04,1073.95,16440.26,18308805.75,1127.61
1489104000,1236.06,956.68,1127.61,42533.69,47145843.14,1045.9
1489190400,1131.79,1036.08,1045.9,16516.53,18108410.3,1105.85
1489276800,1159.91,1101.58,1105.85,10371.66,11751283.38,1148.07
1489363200,1165.51,1128.75,1148.07,15294.19,17583296.26,1157.07
1489449600,1179.53,1143.27,1157.07,10155.68,11825114.45,1166.83
1489536000,1181.56,1160.1,1166.83,9962.97,11666929.63,1169.9
1489622400,1171.32,1019.52,1169.9,30761.94,34057296.33,1078.74
1489708800,1081.69,982.31,1078.74,37840.29,39023966.72,994.87
1489795200,1021.27,854.74,994.87,47092.87,43855376.09,883.13
1489881600,988.53,880.05,883.13,24522.77,22991736.17,944.86
1489968000,979.64,929.99,944.86,18620.39,17866510.06,959.48
1490054400,1032.09,956.54,959.48,21069.67,21212148.98,1024.58
1490140800,1028.32,912.7,1024.58,27300.92,26347105.15,957.05
1490227200,978.25,937.22,957.05,12282.03,11799622.68,952.73
1490313600,955.81,846.54,952.73,28218.32,25439988.83,858.4
1490400000,888.56,817.32,858.4,27030.4,23012191.39,878.53
1490486400,923.04,862.77,878.53,16535.58,14775670.03,884.57
1490572800,958.28,875.85,884.57,17707.18,16378575.43,953.97
1490659200,977.04,934.09,953.97,18112.49,17361510.07,959.37
1490745600,974.78,920.7,959.37,15246.74,14488944.51,960.89
1490832000,970.83,943.92,960.89,12384.56,11879792.11,963.7
1490918400,1012.98,963.78,963.7,17936.34,17736258.15,1006.92
1491004800,1034.13,994.9,1006.92,10478.22,10626257.52,1018.38
1491091200,1039.13,1005.02,1018.38,10959.66,11233202.19,1028.39
1491177600,1083.67,1026.09,1028.39,16688.87,17717245.72,1073.27
1491264000,1089.25,1050.91,1073.27,13753.22,14712324.04,1065.98
1491350400,1070.67,1041.16,1065.98,11582.52,12227442.32,1060.21
1491436800,1139.31,1059.89,1060.21,18694.41,20585528.01,1127.15
1491523200,1138.8,1105.63,1127.15,12012.18,13491014.39,1123.86
1491609600,1130.47,1098.59,1123.86,6686.45,7462581.03,1113.81
1491696000,1142.69,1106.02,1113.81,8166.85,9207496.74,1131.66
1491782400,1145.95,1127.86,1131.66,7517.78,8557604.02,1134.48
1491868800,1159.23,1126.87,1134.48,8009.46,9158134.36,1150.08
1491955200,1155.2,1133.98,1150.08,8205.99,9396824.12,1138.22
1492041600,1142.08,1080.82,1138.22,16030.62,17776989.38,1103.49
1492128000,1121.68,1093.31,1103.49,8240.6,9143063.37,1111.42
1492214400,1121.65,1092.72,1111.42,5689.7,6319162.15,1098.7
1492300800,1115.87,1084.42,1098.7,3858.82,4262279.6,1109.93
1492387200,1128.9,1104.61,1109.93,6544.58,7304025.24,1116.08
